Teacher_id,Name,Password,College,Department,Class,Status
T0735,鄒愛惺,0,運輸物流系,建設學院,甲,副教授
T0655,涂兌仕,0,運輸物流系,建設學院,丁,教授
T0486,沈俗鶸,0,水利系,建設學院,乙,副教授
T0371,朱榦渙,0,電子系,資電學院,丙,副教授
T0785,郭澹蓆,0,商學學士學位學程,商學院,丁,職員
T0061,朱匣徒,0,土木系,建設學院,甲,助理教授
T0449,曾劈攤,0,統計系,商學院,丁,教授
T0585,蘇貳蒲,0,企管系,商學院,丁,職員
T0177,程詐淒,0,都資系,建設學院,甲,副教授
T0528,古鱸充,0,化工系,工程與科學學院,丙,教授
T0347,湯崴咐,0,財稅系,商學院,丁,職員
T0269,劉孳縊,0,資電系,資電學院,丙,副教授
T0163,巫俏睬,0,航太系,工程與科學學院,丁,職員
T0878,曾咀洪,0,電子系,資電學院,丁,職員
T0343,白獸別,0,工工系,工程與科學學院,丁,助理教授
T0742,范酥蛋,0,國貿系,商學院,丁,教授
T0817,薛銬染,0,精密學程,工程與科學學院,乙,副教授
T0571,姜涸熹,0,光電系,工程與科學學院,乙,教授
T0526,唐榣蒸,0,財稅系,商學院,丁,助理教授
T0507,范姜冠計,0,水利系,建設學院,丙,助理教授
T0103,鄧礬駝,0,土管系,建設學院,丁,助理教授
T0284,梁七駑,0,環工系,工程與科學學院,乙,副教授
T0821,韓骼戳,0,機電系,工程與科學學院,乙,副教授
T0242,孫禦琨,0,都資系,建設學院,丁,助理教授
T0230,葉匡雉,0,機電系,工程與科學學院,丙,副教授
T0726,童委圳,0,經濟系,商學院,丁,教授
T0298,胡稈湣,0,機電系,工程與科學學院,甲,副教授
T0043,紀穆圭,0,財稅系,商學院,乙,教授
T0602,劉彙頓,0,通訊系,資電學院,乙,職員
T0881,林瀉唇,0,國貿系全英班,商學院,丙,助理教授
T0599,姜柏昭,0,工工系,工程與科學學院,丁,職員
T0272,侯遍鮪,0,光電系,工程與科學學院,丁,助理教授
T0231,許甥姒,0,通訊系,資電學院,丙,職員
T0238,錢官侷,0,商學學士學位學程,商學院,丙,教授
T0266,宋拾寮,0,商學學士學位學程,商學院,丁,副教授
T0823,童胛兗,0,財稅系,商學院,丙,助理教授
T0389,薛縵吮,0,通訊系,資電學院,乙,教授
T0878,薛真徠,0,航太系,工程與科學學院,乙,副教授
T0099,范姜儲柔,0,光電系,工程與科學學院,丙,副教授
T0841,范姜過貽,0,工工系,工程與科學學院,甲,副教授
T0744,謝戟霍,0,財稅系,商學院,甲,助理教授
T0799,石磐求,0,航太系,工程與科學學院,乙,助理教授
T0465,吳墮鄉,0,工工系,工程與科學學院,乙,助理教授
T0825,程括氳,0,財稅系,商學院,丙,職員
T0505,歐齷呢,0,土木系,建設學院,丙,教授
T0671,孫丸歸,0,航太系,工程與科學學院,乙,助理教授
T0220,廖向黛,0,土管系,建設學院,乙,助理教授
T0579,賴胛舞,0,電機系,資電學院,丙,副教授
T0292,梁涪俎,0,電機系,資電學院,甲,助理教授
