Teacher_id,Name,Password,College,Department,Class,Status
T0094,柯裳訃,0,合經系,商學院,乙,教授
T0219,范姜燼頷,0,光電系,工程與科學學院,甲,助理教授
T0698,趙娉鈣,0,商學學士學位學程,商學院,丙,副教授
T0125,田魍鈾,0,會計系,商學院,甲,教授
T0545,詹聖罕,0,光電系,工程與科學學院,丁,助理教授
T0367,孫層判,0,運輸物流系,建設學院,乙,副教授
T0736,巫漩坤,0,化工系,工程與科學學院,丁,助理教授
T0716,范姜愎閭,0,土管系,建設學院,丙,教授
T0484,尤膾召,0,精密學程,工程與科學學院,乙,教授
T0393,黃湎涮,0,機電系,工程與科學學院,丙,助理教授
T0867,顏稷悠,0,都資系,建設學院,丁,副教授
T0324,呂專劊,0,土管系,建設學院,丁,職員
T0237,范吆鑪,0,環工系,工程與科學學院,丁,助理教授
T0789,歐嚥碎,0,經濟系,商學院,甲,職員
T0088,歐非顓,0,電機系,資電學院,乙,職員
T0555,蕭醺婢,0,水利系,建設學院,乙,副教授
T0619,高簡仕趾,0,電機系,資電學院,丁,副教授
T0086,紀獸徨,0,纖複系,工程與科學學院,丙,助理教授
T0647,游庭密,0,工工系,工程與科學學院,丁,助理教授
T0353,石硯糯,0,自控系,資電學院,甲,職員
T0453,方週損,0,光電系,工程與科學學院,乙,教授
T0465,曾英即,0,會計系,商學院,丙,教授
T0833,洪兵烈,0,都資系,建設學院,乙,職員
T0798,郭驢媒,0,資工系,資電學院,丁,副教授
T0384,康頡半,0,行銷系,商學院,丙,副教授
T0800,吳愉琳,0,電子系,資電學院,丁,副教授
T0516,蔣壘悲,0,機電系,工程與科學學院,乙,助理教授
T0437,蔡牢揆,0,電子系,資電學院,丙,教授
T0875,鄒憂尉,0,應數系,工程與科學學院,丙,副教授
T0381,陸辱墩,0,化工系,工程與科學學院,丙,副教授
T0388,盧寂隨,0,機電系,工程與科學學院,丁,助理教授
T0134,邵籬稜,0,行銷系,商學院,丙,副教授
T0836,周沬叭,0,精密學程,工程與科學學院,丁,職員
T0634,薛起碾,0,國貿系全英班,商學院,甲,職員
T0886,宋珞惰,0,水利系,建設學院,乙,副教授
T0685,呂仗低,0,行銷系,商學院,乙,職員
T0820,林壟鋤,0,水利系,建設學院,甲,職員
T0748,鄧鴒孽,0,資電系,資電學院,乙,教授
T0016,王媚媧,0,自控系,資電學院,丙,職員
T0402,唐也蚊,0,國貿系全英班,商學院,丙,職員
T0635,賴綏訟,0,機電系,工程與科學學院,甲,職員
T0566,嚴顏染,0,合經系,商學院,丙,助理教授
T0089,杜鵪逝,0,國貿系,商學院,丙,職員
T0144,王逆韆,0,財稅系,商學院,甲,職員
T0641,孫靄鵲,0,自控系,資電學院,丙,副教授
T0875,邱瞥胥,0,航太系,工程與科學學院,丙,副教授
T0325,施彭嘿,0,材料系,工程與科學學院,丙,助理教授
T0820,姜娩即,0,化工系,工程與科學學院,甲,職員
T0290,莊鮭另,0,航太系,工程與科學學院,丁,副教授
T0390,王廈庵,0,自控系,資電學院,甲,副教授
T0472,汪施道,0,資工系,資電學院,甲,副教授
